"   ";"PAY";"CNT";"PAY_DATE"
"1";"23565,54";"25";"01.01.2012"
"2";"80678,08";"133";"02.01.2012"
"3";"40195,6";"51";"03.01.2012"
"4";"107356,46";"106";"04.01.2012"
"5";"128753,39";"165";"05.01.2012"
"6";"158784,19";"158";"06.01.2012"
"7";"50619,65";"54";"07.01.2012"
"8";"77638,97";"88";"08.01.2012"
"9";"27400387,62";"35875";"09.01.2012"
"10";"32513102,77";"41295";"10.01.2012"
"11";"27009374,81";"33181";"11.01.2012"
"12";"25612477,02";"33397";"12.01.2012"
"13";"27001458,49";"39131";"13.01.2012"
"14";"28758249,83";"43110";"14.01.2012"
"15";"3203429,01";"5051";"15.01.2012"
"16";"41544080,57";"69204";"16.01.2012"
"17";"45094336,95";"72694";"17.01.2012"
"18";"45140744,54";"71412";"18.01.2012"
"19";"42111910,83";"64818";"19.01.2012"
"20";"37937078,3";"57296";"20.01.2012"
"21";"32382043,3";"44775";"21.01.2012"
"22";"2863643,68";"4191";"22.01.2012"
"23";"34537281,4";"48641";"23.01.2012"
"24";"30639453,38";"41459";"24.01.2012"
"25";"27115239,8";"35756";"25.01.2012"
"26";"25403592,65";"32747";"26.01.2012"
"27";"24801080,87";"32201";"27.01.2012"
"28";"24633373,93";"31071";"28.01.2012"
"29";"2369778,18";"3064";"29.01.2012"
"30";"32528501,35";"45560";"30.01.2012"
"31";"31589113,53";"41270";"31.01.2012"
"32";"25376698,07";"29399";"01.02.2012"
"33";"19382164,9";"20601";"02.02.2012"
"34";"20033032,8";"22230";"03.02.2012"
"35";"18761874,98";"19584";"04.02.2012"
"36";"1815471,77";"1804";"05.02.2012"
"37";"23273042,77";"24993";"06.02.2012"
"38";"22144689,67";"23611";"07.02.2012"
"39";"20614384,42";"21500";"08.02.2012"
"40";"20825272,4";"23102";"09.02.2012"
"41";"24414624,88";"29439";"10.02.2012"
"42";"26942838,04";"33602";"11.02.2012"
"43";"2843575,89";"3702";"12.02.2012"
"44";"31850970,33";"46738";"13.02.2012"
"45";"35108664,61";"53088";"14.02.2012"
"46";"39240768,23";"60156";"15.02.2012"
"47";"42131481,5";"64599";"16.02.2012"
"48";"43083405,48";"67997";"17.02.2012"
"49";"41398907,59";"60862";"18.02.2012"
"50";"4182858,94";"6208";"19.02.2012"
"51";"45038777,33";"66448";"20.02.2012"
"52";"37657154,7";"50806";"21.02.2012"
"53";"32008627,95";"42604";"22.02.2012"
"54";"728542,8";"869";"23.02.2012"
"55";"31636199,86";"41660";"24.02.2012"
"56";"26537874,84";"34550";"25.02.2012"
"57";"2492594,57";"3302";"26.02.2012"
"58";"35778507,56";"48925";"27.02.2012"
